"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"f:\do_an\shop-admin\src\app\pages\not-found\not-found.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"f:\do_an\shop-admin\src\app\pages\open-order-page\open-order-page.component.css", "CSS", 0, 114, 0, 0, 20, 134
"f:\do_an\shop-admin\src\app\pages\open-order-page\open-order-page.component.html", "HTML", 0, 0, 58, 0, 1, 59
"f:\do_an\shop-admin\src\app\pages\open-order-page\open-order-page.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\open-order-page\open-order-page.component.ts", "TypeScript", 81, 0, 0, 1, 9, 91
"f:\do_an\shop-admin\src\app\pages\open-order-page\open-order.model.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"f:\do_an\shop-admin\src\app\pages\order-detail\order-detail.component.css", "CSS", 0, 216, 0, 1, 43, 260
"f:\do_an\shop-admin\src\app\pages\order-detail\order-detail.component.html", "HTML", 0, 0, 101, 0, 3, 104
"f:\do_an\shop-admin\src\app\pages\order-detail\order-detail.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\order-detail\order-detail.component.ts", "TypeScript", 187, 0, 0, 1, 26, 214
"f:\do_an\shop-admin\src\app\pages\product-out-of-stock\product-out-of-stock.component.css", "CSS", 0, 0, 0, 0, 1, 1
"f:\do_an\shop-admin\src\app\pages\product-out-of-stock\product-out-of-stock.component.html", "HTML", 0, 0, 1, 0, 1, 2
"f:\do_an\shop-admin\src\app\pages\product-out-of-stock\product-out-of-stock.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\product-out-of-stock\product-out-of-stock.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"f:\do_an\shop-admin\src\app\pages\product-recommed-out-of-stock\product-recommed-out-of-stock.component.css", "CSS", 0, 80, 0, 0, 12, 92
"f:\do_an\shop-admin\src\app\pages\product-recommed-out-of-stock\product-recommed-out-of-stock.component.html", "HTML", 0, 0, 35, 0, 1, 36
"f:\do_an\shop-admin\src\app\pages\product-recommed-out-of-stock\product-recommed-out-of-stock.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\product-recommed-out-of-stock\product-recommed-out-of-stock.component.ts", "TypeScript", 42, 0, 0, 0, 5, 47
"f:\do_an\shop-admin\src\app\pages\productdetail\productdetail.component.css", "CSS", 0, 254, 0, 0, 47, 301
"f:\do_an\shop-admin\src\app\pages\productdetail\productdetail.component.html", "HTML", 0, 0, 145, 6, 10, 161
"f:\do_an\shop-admin\src\app\pages\productdetail\productdetail.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\productdetail\productdetail.component.ts", "TypeScript", 290, 0, 0, 3, 39, 332
"f:\do_an\shop-admin\src\app\pages\productlist\productlist.component.css", "CSS", 0, 142, 0, 1, 21, 164
"f:\do_an\shop-admin\src\app\pages\productlist\productlist.component.html", "HTML", 0, 0, 122, 19, 4, 145
"f:\do_an\shop-admin\src\app\pages\productlist\productlist.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\productlist\productlist.component.ts", "TypeScript", 96, 0, 0, 3, 18, 117
"f:\do_an\shop-admin\src\app\pages\user-detail\user-detail.component.css", "CSS", 0, 222, 0, 0, 50, 272
"f:\do_an\shop-admin\src\app\pages\user-detail\user-detail.component.html", "HTML", 0, 0, 164, 0, 10, 174
"f:\do_an\shop-admin\src\app\pages\user-detail\user-detail.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\user-detail\user-detail.component.ts", "TypeScript", 147, 0, 0, 3, 26, 176
"f:\do_an\shop-admin\src\app\pages\user-list\user-list.component.css", "CSS", 0, 150, 0, 1, 21, 172
"f:\do_an\shop-admin\src\app\pages\user-list\user-list.component.html", "HTML", 0, 0, 106, 0, 4, 110
"f:\do_an\shop-admin\src\app\pages\user-list\user-list.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\pages\user-list\user-list.component.ts", "TypeScript", 63, 0, 0, 1, 15, 79
"Total", "-", 1896, 1774, 1017, 83, 691, 5461
